"","Longitude","Latitude","HousingMedianAge","TotalRooms","TotalBedrooms","Population","Households","MedianIncome","MedianHouseValue"
"5066",0.603585657370517,0.154091392136026,0.823529411764706,0.0483239228851925,0.0616076970825574,0.0322318450629222,0.0595296826179905,0.0991434600902057,0.575629854172289
"15636",0.193227091633466,0.558979808714133,0.568627450980392,0.0462637977516659,0.114369956548728,0.0461055522856582,0.112317053116264,0.0264617039764969,0.969953311632555
"7031",0.622509960159363,0.150903294367694,0.686274509803922,0.0300625667633145,0.037088764742396,0.0264301129515962,0.0379871731623088,0.243844912483966,0.679483379416095
"19262",0.160358565737052,0.626992561105207,0.431372549019608,0.0716465740882039,0.0948168839230292,0.045993441520222,0.0896234172011182,0.148804844071116,0.652636599391022
"16597",0.286852589641434,0.535600425079702,0.254901960784314,0.0404903606490666,0.0451582867783985,0.0247764791614115,0.0470317382009538,0.287071902456518,0.848563763190812
"1793",0.196215139442231,0.570669500531349,0.333333333333333,0.0891449209013683,0.110180012414649,0.0342218111494156,0.111001480019734,0.313961186742252,0.824067620831991
"15162",0.729083665338645,0.0456960680127523,0.294117647058824,0.100055954015972,0.107541899441341,0.0541494997057092,0.108205887189607,0.280175445855919,0.78003732446016
"6723",0.618525896414343,0.168969181721573,0.941176470588235,0.112823643115113,0.124456859093731,0.0461616076683764,0.121690511429041,0.31774044495938,0.988179753637979
"18290",0.223107569721115,0.514346439957492,0.411764705882353,0.0924767282160842,0.111421477343265,0.0371647187421172,0.106725867456011,0.315892194590419,1
"13539",0.702191235059761,0.171094580233794,0.725490196078431,0.0187700289943537,0.0251396648044693,0.00922111045713165,0.0225291892780793,0.131777492724238,0.504574196555765
"4539",0.612549800796812,0.158342189160468,0.784313725490196,0.0328094002746833,0.0516759776536313,0.032147761988845,0.0527873704982733,0.0982814030151308,0.627033301060625
"17832",0.249003984063745,0.516471838469713,0.431372549019608,0.0455516557301999,0.0493482309124767,0.0320076235320497,0.050814010853478,0.351505496475911,0.794467436232376
"6411",0.630478087649403,0.166843783209352,0.666666666666667,0.0623632941655222,0.0709186840471757,0.0310266543344825,0.0713698404867621,0.227789961517772,0.946725544183939
"11343",0.639442231075696,0.129649309245483,0.313725490196078,0.0849229360598199,0.124456859093731,0.094677541410914,0.135504028942608,0.198004165459787,0.678252282501755
"15439",0.709163346613545,0.0701381509032947,0.549019607843137,0.0857113790121573,0.111576660459342,0.0495249306314639,0.11379707284986,0.207652308244024,0.685560384248065
"10649",0.654382470119522,0.106269925611052,0.549019607843137,0.0360903403021517,0.0715394165114835,0.0144903164326354,0.0555829633283999,0.123929325112757,0.969953311632555
"3894",0.576693227091633,0.177470775770457,0.235294117647059,0.211735083168015,0.286778398510242,0.115558171473416,0.291399440881434,0.222852098591744,0.723768928924725
"399",0.205179282868525,0.568544102019129,1,0.0248486698204385,0.0270018621973929,0.0103982734942123,0.0249958888340733,0.321899008289541,0.82491195709282
"2870",0.538844621513944,0.300743889479277,0.431372549019608,0.0280787425606592,0.0389509621353197,0.0220577930995824,0.0376582798881763,0.0932676790664956,0.393925176264065
"6662",0.620517928286852,0.173219978746015,1,0.0749275141156722,0.0839540657976412,0.0381176602483253,0.0812366387107384,0.290333926428601,0.842584635010296
"17887",0.23804780876494,0.515409139213603,0.372549019607843,0.0261966529324991,0.0353817504655493,0.0183581378401861,0.0389738529847065,0.276292740789782,0.764968003454148
"766",0.224103585657371,0.544102019128586,0.666666666666667,0.0173966122386693,0.0218808193668529,0.0133692087782729,0.0243381022858083,0.232762306726804,0.678780546370823
"11085",0.648406374501992,0.138150903294368,0.431372549019608,0.1565440765044,0.175046554934823,0.0788699234844026,0.176286794935044,0.314685314685315,0.781758951548861
"10332",0.655378486055777,0.138150903294368,0.0784313725490196,0.111348491784933,0.110800744878957,0.0535328904958099,0.121690511429041,0.429476834802279,0.820451038094144
"19958",0.500996015936256,0.391073326248671,0.0784313725490196,0.0589297522763111,0.0678150217256362,0.0358754449396003,0.0693964808419668,0.216162535689163,0.527599677727366
"4801",0.596613545816733,0.158342189160468,0.764705882352941,0.0590314868508062,0.102420856610801,0.0516830628661117,0.100805788521625,0.0918401125501717,0.577141382607316
"336",0.21613545816733,0.552603613177471,0.666666666666667,0.0127676890991403,0.0193978895096214,0.00896886123490008,0.0177602368031574,0.0926814802554448,0.512562796339282
"1124",0.275896414342629,0.767268862911796,0.352941176470588,0.0632026044051071,0.0751086281812539,0.0310266543344825,0.0743298799539549,0.179735451924801,0.568727044882567
